discipline_name,discipline_url,lab_name,lab_url,pic,experiment_name,experiment_url
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Design and verify the 4- Bit Synchronous or Asynchronous Counter using JK Flip Flop,https://de-iitr.vlabs.ac.in/exp/4bit-synchronous-asynchronous-counter/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Verify Binary to Gray and Gray to Binary conversion using NAND gates only,https://de-iitr.vlabs.ac.in/exp/binary-conversion/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-I (New),https://de-iitr.vlabs.ac.in/,IIT Roorkee,Verify the truth table of one bit and two bit comparator using logic gates,https://de-iitr.vlabs.ac.in/exp/comparator-using-logic-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,To implement Half adder & Full adder by using basic and universal gates,https://de-iitg.vlabs.ac.in/exp/half-adder-full-adder/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,To study Parallel Binary Adder,https://de-iitg.vlabs.ac.in/exp/parallel-binary-adder/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,To study a BCD to 7 Segment LED display decoder,https://de-iitg.vlabs.ac.in/exp/bcd-to-led/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,Study of Binary to Grey code converter,https://de-iitg.vlabs.ac.in/exp/binary-to-grey-code/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,Implementation of Boolean Functions using MUX,https://de-iitg.vlabs.ac.in/exp/boolean-functions-using-mux/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,To study the J-K FF and conversion of D and T flip flop to JKFF.,https://de-iitg.vlabs.ac.in/exp/truth-tables-flip-flops/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,To study a simple two-bit ripple counter,https://de-iitg.vlabs.ac.in/exp/two-bit-ripple-counter/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Electronics Lab-II (New),https://de-iitg.vlabs.ac.in/,IIT Guwahati,Design a synchronous up/down counter,https://de-iitg.vlabs.ac.in/exp/synchronous-up-down-counter/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Logic Design Lab (Logic Gates & Mux-Demux) (New),https://dld-iitb.vlabs.ac.in/,IIT Bombay,Design of multiplexer circuit using gates,https://dld-iitb.vlabs.ac.in/exp/multiplexer-using-basic-logic-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Logic Design Lab (Logic Gates & Mux-Demux) (New),https://dld-iitb.vlabs.ac.in/,IIT Bombay,Multiplexer using Universal logic gates,https://dld-iitb.vlabs.ac.in/exp/multiplexer-using-universal-logic-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Logic Design Lab (Logic Gates & Mux-Demux) (New),https://dld-iitb.vlabs.ac.in/,IIT Bombay,Demultiplexer using basic logic gates,https://dld-iitb.vlabs.ac.in/exp/demultiplexer-using-basic-logic-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Logic Design Lab (Logic Gates & Mux-Demux) (New),https://dld-iitb.vlabs.ac.in/,IIT Bombay,Demultiplexer using Universal logic gates,https://dld-iitb.vlabs.ac.in/exp/demultiplexer-using-universal-logic-gates/
Electronics & Communications,https://www.vlab.co.in/broad-area-electronics-and-communications,Digital Logic Design Lab (Logic Gates & Mux-Demux) (New),https://dld-iitb.vlabs.ac.in/,IIT Bombay,Application of Multiplexer,https://dld-iitb.vlabs.ac.in/exp/multiplexer-application/
